ID;CODE;NAME
86;A01.19.001;Сбор анамнеза и жалоб при патологии сигмовидной и прямой кишки
87;A01.19.002;Визуальное исследование при патологии сигмовидной и прямой кишки
88;A01.19.003;Пальпация при патологии сигмовидной и прямой кишки
89;A01.19.004;Трансректальное пальцевое исследование
90;A01.20.001;Сбор акушерско-гинекологического анамнеза и жалоб
91;A01.20.002;Визуальный осмотр наружных половых органов
92;A01.20.003;Бимануальное влагалищное исследование
93;A01.20.004;Бимануальное ректоабдоминальное исследование
94;A01.20.005;Визуальное исследование молочных желез
95;A01.20.006;Пальпация молочных желез
96;A01.21.001;Сбор анамнеза и жалоб при патологии мужских половых органов
97;A01.21.002;Визуальное исследование при патологии мужских половых органов
98;A01.21.003;Пальпация при патологии мужских половых органов
99;A01.22.001;Сбор анамнеза и жалоб в эндокринологии
100;A01.22.002;Визуальное исследование в эндокринологии
101;A01.22.003;Пальпация в эндокринологии
102;A01.23.001;Сбор анамнеза и жалоб при патологии центральной нервной системы и головного мозга
103;A01.23.002;Визуальное исследование при патологии центральной нервной системы и головного мозга
104;A01.23.003;Пальпация при патологии центральной нервной системы и головного мозга
105;A01.23.004;Исследование чувствительной и двигательной сферы при патологии центральной нервной системы и головного мозга
106;A01.24.001;Сбор анамнеза и жалоб при патологии периферической нервной системы
107;A01.24.002;Визуальное исследование при патологии периферической нервной системы
108;A01.24.003;Пальпация при патологии периферической нервной системы
109;A01.24.004;Исследование чувствительной и двигательной сферы при патологии периферической нервной системы
110;A01.25.001;Сбор анамнеза и жалоб при патологии органа слуха
111;A01.25.002;Визуальное исследование при патологии органа слуха
112;A01.25.003;Пальпация при патологии органа слуха
113;A01.25.004;Перкуссия при патологии органа слуха
114;A01.26.001;Сбор анамнеза и жалоб при патологии глаза
115;A01.26.002;Визуальное исследование глаз
116;A01.26.003;Пальпация при патологии глаз
117;A01.27.001;Сбор анамнеза и жалоб при патологии органа обоняния
118;A01.27.002;Визуальное исследование при патологии органа обоняния
119;A01.27.003;Пальпация при патологии органа обоняния
120;A01.27.004;Перкуссия при патологии органа обоняния
121;A01.28.001;Сбор анамнеза и жалоб при патологии почек и мочевыделительной системы
122;A01.28.002;Визуальное исследование при патологии почек и мочевыделительной системы
123;A01.28.003;Пальпация при патологии почек и мочевыделительной системы
124;A01.28.004;Перкуссия при патологии почек и мочевыделительной системы
125;A01.29.001;Сбор жалоб и анамнеза (объективный и субъективный) в психиатрии
126;A01.29.002;Визуальное исследование в психиатрии
127;A01.29.003;Пальпация в психиатрии
128;A01.29.005;Сбор жалоб и анамнеза (объективный и субъективный) в психиатрии-наркологии
129;A01.29.006;Визуальное исследование в психиатрии-наркологии
130;A01.29.007;Пальпация в психиатрии-наркологии
131;A01.29.008;Сбор психологического анамнеза и жалоб
132;A01.30.001;Сбор анамнеза и жалоб при инфекционном заболевании
133;A01.30.002;Визуальное исследование при инфекционном заболевании
134;A01.30.003;Пальпация при инфекционном заболевании
135;A01.30.004;Перкуссия при инфекционном заболевании
136;A01.30.005;Аускультация при инфекционном заболевании
137;A01.30.006;Оценка состояния новорожденного по шкале Апгар
138;A01.30.007;Пальпация плода
139;A01.30.008;Оценка гестационного возраста новорожденного по шкале Балорда
140;A01.30.009;Сбор анамнеза и жалоб терапевтический
141;A01.30.009.001;Сбор анамнеза и жалоб при радиационном поражении
142;A01.30.009.002;Сбор анамнеза и жалоб при отравлении
143;A01.30.010;Визуальный осмотр терапевтический
144;A01.30.011;Пальпация терапевтическая
145;A01.30.012;Аускультация терапевтическая
146;A01.30.013;Сбор анамнеза и жалоб при генетическом консультировании
147;A01.30.014;Визуальное исследование при генетическом консультировании
148;A01.30.015;Составление родословной
149;A01.30.016;Перкуссия терапевтическая
150;A01.30.017;Сбор анамнеза и жалоб при патологии брюшной стенки
151;A01.30.018;Визуальный осмотр при патологии брюшной стенки
152;A01.30.019;Пальпация при патологии брюшной стенки
153;A01.30.020;Перкуссия при патологии брюшной стенки
154;A01.30.021;Аускультация при патологии брюшной стенки
155;A01.30.022;Определение площади ожога
156;A01.30.023;Сбор спортивного анамнеза
157;A01.30.024;Составление заключения о физическом развитии
158;A01.30.025;Соматоскопия
159;A01.30.025.001;Определение формы спины
160;A01.30.025.002;Определение формы грудной клетки
161;A01.30.025.003;Определение формы ног
162;A01.30.025.004;Определение телосложения
163;A01.30.026;Опрос (анкетирование) на выявление неинфекционных заболеваний и факторов риска их развития
164;A01.30.027;Сбор анамнеза и жалоб в радиотерапии
165;A01.30.028;Сбор анамнеза и жалоб остеопатический
166;A01.30.029;Визуальный осмотр остеопатический
167;A01.30.030;Пальпация остеопатическая
168;A01.30.030.001;Пальпаторное остеопатическое определение соматических дисфункций глобальных биомеханических
169;A01.30.030.002;Пальпаторное остеопатическое определение соматических дисфункций глобальных ритмогенных
170;A01.30.030.003;Пальпаторное остеопатическое определение соматических дисфункций глобальных нейродинамических
171;A01.30.030.004;Пальпаторное остеопатическое определение соматических дисфункций региона головы
172;A01.30.030.005;Пальпаторное остеопатическое определение соматических дисфункций региона шеи
173;A01.30.030.006;Пальпаторное остеопатическое определение соматических дисфункций региона грудного
174;A01.30.030.007;Пальпаторное остеопатическое определение соматических дисфункций региона поясничного
175;A01.30.030.008;Пальпаторное остеопатическое определение соматических дисфункций региона таза
176;A01.30.030.009;Пальпаторное остеопатическое определение соматических дисфункций региона верхних конечностей
177;A01.30.030.010;Пальпаторное остеопатическое определение соматических дисфункций региона нижних конечностей
178;A01.30.030.011;Пальпаторное остеопатическое определение соматических дисфункций региона твердой мозговой оболочки
179;A01.30.030.012;Пальпаторное остеопатическое определение соматических дисфункций региональных нейродинамических
180;A01.30.030.013;Пальпаторное остеопатическое определение локальных соматических дисфункций верхних конечностей
181;A01.30.030.014;Пальпаторное остеопатическое определение локальных соматических дисфункций нижних конечностей
182;A01.30.030.015;Пальпаторное остеопатическое определение локальных соматических дисфункций костей и сочленений таза
183;A01.30.030.016;Пальпаторное остеопатическое определение локальных соматических дисфункций грудной клетки
184;A01.30.030.017;Пальпаторное остеопатическое определение локальных соматических дисфункций краниосакральной системы и органов головы
185;A01.30.030.018;Пальпаторное остеопатическое определение локальных соматических дисфункций нервной и эндокринной систем
186;A01.30.030.019;Пальпаторное остеопатическое определение локальных соматических дисфункций внутренних органов
187;A02.01.001;Измерение массы тела
188;A02.01.001.001;Биоимпедансная спектроскопия
189;A02.01.001.002;Дистанционное наблюдение за показателями массы тела
190;A02.01.002;Аускультация в дерматологии
191;A02.01.003;Определение сальности кожи
192;A02.01.004;Измерение толщины кожной складки (пликометрия)
193;A02.01.005;Проведение йодной пробы
194;A02.01.006;Люминесцентная диагностика (осмотр под лампой Вуда)
195;A02.01.007;Линейное измерение дефекта кожи
196;A02.01.008;Исследование карманов при дефектах кожных покровов с помощью зонда
197;A02.02.001;Измерение силы мышц спины
198;A02.02.002;Измерение силы мышц живота
199;A02.02.003;Измерение силы мышц кисти
200;A02.02.004;Определение статической силы одной мышцы
201;A02.02.005;Определение динамической силы одной мышцы
202;A02.02.006;Определение динамического концентрического усилия одной мышцы
203;A02.02.007;Определение динамического эксцентрического усилия одной мышцы
204;A02.02.008;Определение динамического изокинетического усилия одной мышцы
205;A02.02.009;Определение дисфункций мышц и фасций в остеопатии
206;A02.03.001;Линейное измерение костей
207;A02.03.002;Измерение окружности головы
208;A02.03.003;Плантография (получения графического "отпечатка" подошвенной поверхности стопы)
209;A02.03.003.001;Компьютерная плантография
210;A02.03.004;Осанкометрия
211;A02.03.005;Измерение роста
212;A02.03.006;Измерение подвижности позвоночника
213;A02.03.007;Измерение основных анатомических окружностей
214;A02.03.007.001;Определение окружности шеи
215;A02.03.007.002;Определение окружности плеча
216;A02.03.007.003;Определение окружности предплечья
217;A02.03.007.004;Определение окружности талии
218;A02.03.007.005;Определение окружности живота
219;A02.03.007.006;Определение окружности бедра
220;A02.03.007.007;Определение окружности голени
221;A02.03.007.008;Определение плечевого диаметра
222;A02.03.007.009;Определение тазо-гребневого диаметра
223;A02.04.001;Линейное измерение сустава
224;A02.04.002;Измерение объема сустава
225;A02.04.003;Измерение подвижности сустава (углометрия)
226;A02.04.003.001;Определение объема пассивного движения одного сустава в одной плоскости
227;A02.04.003.002;Определение объема активного движения одного сустава в одной плоскости
228;A02.04.004;Аускультация сустава
229;A02.04.005;Определение дыхательной волны и складки Киблера в грудном отделе позвоночника
230;A02.04.006;Пружинирование в остеопатии
231;A02.04.006.001;Пружинирование в проекции поперечных отростков грудных позвонков
232;A02.04.006.002;Пружинирование в проекции поперечных отростков реберно-позвоночных суставов
233;A02.04.006.003;Пружинирование паравертебральное в поясничном отделе позвоночника
234;A02.06.001;Измерение объема лимфоузлов
235;A02.07.001;Осмотр полости рта с помощью дополнительных инструментов
236;A02.07.002;Исследование кариозных полостей с использованием стоматологического зонда
237;A02.07.003;Исследование зубодесневых карманов с помощью пародонтологического зонда
238;A02.07.004;Антропометрические исследования
239;A02.07.005;Термодиагностика зуба
240;A02.07.006;Определение прикуса
241;A02.07.006.001;Определение вида смыкания зубных рядов с помощью лицевой дуги
242;A02.07.007;Перкуссия зубов
243;A02.07.008;Определение степени патологической подвижности зубов
244;A02.07.009;Одонтопародонтограмма
245;A02.07.010;Исследование на диагностических моделях челюстей
246;A02.07.010.001;Снятие оттиска с одной челюсти
247;A02.07.011;Аксиография верхне-нижнего челюстного сустава
248;A02.07.012;Функциография при патологии зубо-челюстной системы
249;A02.07.013;Функциональные жевательные пробы
250;A02.07.014;Гнатодинамометрия
251;A02.08.001;Осмотр верхних дыхательных путей с использованием дополнительных источников света, шпателя и зеркал
252;A02.08.002;Исследование дыхательной и обонятельной функции (ольфактометрия)
253;A02.08.003;Стоматофарингоскопия
254;A02.09.001;Измерение частоты дыхания
255;A02.09.002;Измерение окружности грудной клетки
256;A02.09.002.001;Определение экскурсии грудной клетки
257;A02.09.003;Определение поперечного диаметра грудной клетки
258;A02.09.004;Определение передне-заднего диаметра грудной клетки
259;A02.10.001;Линейные измерения сердца
260;A02.10.002;Измерение частоты сердцебиения
261;A02.12.001;Исследование пульса
262;A02.12.001.001;Исследование пульса методом мониторирования
263;A02.12.001.002;Дистанционное наблюдение за показателями частоты сердечных сокращений
264;A02.12.002;Измерение артериального давления на периферических артериях
265;A02.12.002.001;Суточное мониторирование артериального давления
266;A02.12.002.002;Дистанционное наблюдение за показателями артериального давления
267;A02.12.003;Измерение центрального венозного давления
268;A02.19.001;Определение резервуарной функции прямой кишки
269;A02.20.001;Осмотр шейки матки в зеркалах
270;A02.20.002;Измерение базальной температуры
271;A02.20.003;Исследование кристаллизации слизи шеечного канала
272;A02.20.004;Измерение размеров таза
273;A02.20.005;Измерение размеров матки
274;A02.20.006;Линейное измерение молочных желез
275;A02.24.001;Паллестезиометрия
276;A02.25.001;Осмотр органа слуха (отоскопия)
277;A02.25.001.001;Видеоотоскопия
278;A02.25.002;Осмотр барабанной перепонки с использованием микроскопа
279;A02.26.001;Исследование переднего сегмента глаза методом бокового освещения
280;A02.26.002;Исследование сред глаза в проходящем свете
281;A02.26.003;Офтальмоскопия
282;A02.26.004;Визометрия
283;A02.26.004.001;Визоконтрастометрия
284;A02.26.005;Периметрия статическая
285;A02.26.006;Кампиметрия
286;A02.26.007;Механофосфен
287;A02.26.008;Скотометрия (тест Амслера-Маринчева)
288;A02.26.009;Исследование цветоощущения
289;A02.26.010;Измерение угла косоглазия
290;A02.26.011;Исследование диплопии
291;A02.26.012;Пупилометрия
292;A02.26.013;Определение рефракции с помощью набора пробных линз
293;A02.26.014;Скиаскопия
294;A02.26.015;Офтальмотонометрия
295;A02.26.016;Кератоэстезиометрия
296;A02.26.017;Определение дефектов поверхности роговицы
297;A02.26.018;Флюоресцеиновая инстилляционная проба
298;A02.26.019;Канальцевая проба (носовая проба, слезно-носовая проба)
299;A02.26.020;Тест Ширмера
300;A02.26.021;Диафаноскопия глаза
301;A02.26.022;Экзофтальмометрия
302;A02.26.023;Исследование аккомодации
303;A02.26.024;Определение характера зрения, гетерофории
304;A02.26.025;Измерение диаметра роговицы
305;A02.26.026;Исследование конвергенции
306;A02.26.027;Исследование критической частоты слияния световых мельканий
307;A02.26.028;Исследование подвижности глаза
308;A02.26.029;Исследование подвижности глазного протеза
309;A02.28.001;Калибровка уретры
310;A02.30.001;Термометрия общая
311;A02.30.002;Аускультация плода с помощью стетоскопа
312;A02.30.003;Цефалометрия
313;A02.30.004;Исследование плаценты послеродовое
314;A02.30.005;Ортостатическая проба
315;A02.30.006;Клиностатическая проба
316;A02.30.007;Определение содержания угарного газа (монооксида углерода) в выдыхаемом воздухе с помощью газоанализатора
317;A03.01.001;Осмотр кожи под увеличением (дерматоскопия)
318;A03.01.001.001;Конфокальная отражательная микроскопия кожи
319;A03.01.002;Осмотр кожи через стекло при надавливании (витропрессия)
320;A03.01.003;Конфокальная лазерная сканирующая микроскопия
321;A03.03.001;Топография позвоночника компьютерная оптическая
322;A03.04.001;Артроскопия диагностическая
323;A03.07.001;Люминесцентная стоматоскопия
324;A03.07.002;Транслюминесцентная стоматоскопия
325;A03.07.004;Сиалометрия
326;A03.08.001;Ларингоскопия
327;A03.08.001.001;Видеоларингоскопия
328;A03.08.001.002;Ларингоскопия с использованием стробоскопа
329;A03.08.002;Фарингоскопия
330;A03.08.002.001;Эпифарингоскопия
331;A03.08.002.002;Эпифарингоскопия видеоэндоскопическая
332;A03.08.003;Эзофагоскопия
333;A03.08.003.001;Эзофагоскопия трансназальная
334;A03.08.004;Риноскопия
335;A03.08.004.001;Эндоскопическая эндоназальная ревизия полости носа, носоглотки
336;A03.08.004.002;Эндоскопическая эндоназальная ревизия околоносовых пазух
337;A03.08.004.003;Видеориноскопия
338;A03.08.005;Фиброларингоскопия
339;A03.08.005.001;Хромоларингоскопия
340;A03.08.005.002;Аутофлюоресцентная ларингоскопия
341;A03.08.005.003;Микроларингоскопия
342;A03.08.006;Синусоскопия
343;A03.08.007;Эпифаринголарингоскопия
344;A03.09.001;Бронхоскопия
345;A03.09.001.001;Бронхоскопия жестким бронхоскопом рентгенохирургическая
346;A03.09.001.002;Бронхоскопия аутофлюоресцентная
347;A03.09.001.003;Бронхоскопия с использованием ультраспектрального метода
348;A03.09.002;Трахеоскопия
349;A03.09.003;Трахеобронхоскопия
350;A03.09.003.001;Видеотрахеобронхоскопия
351;A03.10.001;Торакоскопия
352;A03.10.001.001;Фиброторакоскопия
353;A03.10.002;Кардиоскопия
354;A03.11.001;Медиастиноскопия
355;A03.13.001;Биомикроскопия сосудов
356;A03.13.002;Капилляроскопия
357;A03.14.002;Холедохоскопия
358;A03.15.001;Лапароскопия с осмотром поджелудочной железы
359;A03.16.001;Эзофагогастродуоденоскопия
360;A03.16.001.001;Эзофагогастродуоденоскопия с электрокоагуляцией кровоточащего сосуда
361;A03.16.001.002;Эзофагогастродуоденоскопия со стимуляцией желчеотделения
362;A03.16.001.003;Эзофагогастродуоденоскопия флюоресцентная
363;A03.16.001.004;Эзофагогастродуоденоскопия с введением лекарственных препаратов
364;A03.16.001.005;Эзофагогастродуоденоскопия трансназальная
365;A03.16.002;Установка назоинтестинального зонда
366;A03.16.003;Эзофагогастроскопия
367;A03.16.003.001;Эзофагогастроскопия трансназальная
368;A03.17.001;Эзофагогастроинтестиноскопия
369;A03.17.001.001;Эзофагогастроинтестиноскопия трансназальная
370;A03.17.002;Интестиноскопия
371;A03.17.002.001;Интестиноскопия двухбаллонная
372;A03.17.002.002;Тонкокишечная эндоскопия видеокапсульная
373;A03.18.001;Колоноскопия
374;A03.18.001.001;Видеоколоноскопия
375;A03.18.001.004;Эндосонография толстой кишки
376;A03.18.001.006;Толстокишечная эндоскопия видеокапсульная
377;A03.18.001.007;Колоноскопия с введением лекарственных препаратов
378;A03.18.002;Эндоскопическая резекция слизистой толстой кишки
379;A03.18.003;Эндопротезирование толстой кишки
380;A03.19.001;Аноскопия
381;A03.19.002;Ректороманоскопия
382;A03.19.003;Сигмоскопия
383;A03.19.004;Ректосигмоидоскопия
384;A03.19.004.001;Ректосигмоидоскопия с введением лекарственных препаратов
385;A03.20.001;Кольпоскопия
386;A03.20.002;Фертилоскопия
387;A03.20.003;Гистероскопия
388;A03.20.003.001;Гистерорезектоскопия
389;A03.20.003.002;Контрастная эхогистеросальпингоскопия
390;A03.20.003.003;Гистероскопия флюоресцентная
391;A03.20.004;Вагиноскопия
392;A03.20.005;Вульвоскопия
393;A03.20.006;Фаллопоскопия
394;A03.21.001;Диафаноскопия
395;A03.25.001;Вестибулометрия
396;A03.25.002;Проведение калорической пробы
397;A03.25.003;Исследование органа слуха с помощью камертона
398;A03.25.004;Определение проходимости евстахиевой трубы
399;A03.25.005;Отоэндоскопия
400;A03.26.001;Биомикроскопия глаза
401;A03.26.002;Гониоскопия
402;A03.26.003;Осмотр периферии глазного дна с использованием трехзеркальной линзы Гольдмана
403;A03.26.004;Офтальмохромоскопия
404;A03.26.005;Биомикрофотография глаза и его придаточного аппарата
405;A03.26.005.001;Биомикрофотография глазного дна с использованием фундус-камеры
406;A03.26.006;Флюоресцентная ангиография глаза
407;A03.26.007;Определение ретинальной остроты зрения
408;A03.26.008;Рефрактометрия
409;A03.26.009;Офтальмометрия
410;A03.26.010;Определение параметров контактной коррекции
411;A03.26.011;Кератопахиметрия
412;A03.26.011.001;Ультразвуковая кератопахиметрия
413;A03.26.012;Исследование заднего эпителия роговицы
414;A03.26.014;Аномалоскопия
415;A03.26.015;Тонография
416;A03.26.016;Офтальмодинамометрия
417;A03.26.017;Локализация разрывов, инородных тел сетчатки
418;A03.26.018;Биомикроскопия глазного дна
419;A03.26.019;Оптическое исследование сетчатки с помощью компьютерного анализатора
420;A03.26.019.001;Оптическое исследование переднего отдела глаза с помощью компьютерного анализатора
421;A03.26.019.002;Оптическое исследование заднего отдела глаза с помощью компьютерного анализатора
422;A03.26.019.003;Оптическое исследование головки зрительного нерва и слоя нервных волокон с помощью компьютерного анализатора
423;A03.26.020;Компьютерная периметрия
424;A03.26.021;Определение времени разрыва слезной пленки
425;A03.26.022;Исследование глазного дна на аутофлюоресценцию
426;A03.28.001;Цистоскопия
427;A03.28.001.001;Цистоскопия с моделированием устья мочеточника
428;A03.28.001.002;Цистоскопия с рассечением устья мочеточника
429;A03.28.001.003;Цистоскопия фотодинамическая
430;A03.28.002;Уретроскопия
431;A03.28.003;Уретероскопия
432;A03.28.004;Пиелоскопия
433;A03.28.004.001;Чрескожная (чресфистульная) пиелоскопия
434;A03.28.005;Профилометрия уретры
435;A03.28.006;Цистоменометрия
436;A03.30.003;Видеоэндоскопическая колпачковая резекция слизистой желудочно-кишечного тракта
437;A03.30.004;Видеоэндоскопическая петлевая резекция слизистой желудочно-кишечного тракта
438;A03.30.005;Видеоэндоскопическое лигирование основания малигнизированного полипа
439;A03.30.006;Эндоскопическое исследование внутренних органов
440;A03.30.006.001;Узкоспектральное эндоскопическое исследование гортани, трахеи и бронхов
441;A03.30.006.002;Увеличительное эндоскопическое исследование слизистой органов желудочно-кишечного тракта
442;A03.30.006.003;Конфокальное микроэндоскопическое исследование слизистой органов желудочно-кишечного тракта
443;A03.30.006.004;Аутофлюоресцентное эндоскопическое исследование органов желудочно-кишечного тракта
444;A03.30.006.005;Конфокальное микроэндоскопическое исследование слизистой гортани, трахеи и бронхов
445;A03.30.006.006;Узкоспектральное NBI-исследование органов желудочно-кишечного тракта
446;A03.30.006.007;Эндоскопическое исследование органов желудочно-кишечного тракта в режиме интеллектуального цветового выделения (FICE)
447;A03.30.007;Хромоскопия, контрастное исследование органов желудочно-кишечного тракта
448;A03.30.008;Диагностическая лапароскопия флюоресцентная
449;A03.30.009;Доставка видеокапсулы в желудочно-кишечный тракт эндоскопическая
450;A03.30.010;Описание и интерпретация данных эндоскопических исследований с применением телемедицинских технологий
451;A04.01.001;Ультразвуковое исследование мягких тканей (одна анатомическая зона)
452;A04.01.001.001;Эластография мягких тканей
453;A04.01.002;Ультразвуковое исследование кожи (одна анатомическая зона)
454;A04.01.002.001;Эластография кожи
455;A04.03.001;Ультразвуковое исследование костей
456;A04.03.002;Ультразвуковое исследование позвоночника
457;A04.03.003;Ультразвуковая денситометрия
458;A04.04.001;Ультразвуковое исследование сустава
459;A04.04.001.001;Ультразвуковое исследование тазобедренного сустава
